www.psf.gov.jo,صندوق توفير البريد,Jordan Postal Saving Fund
isa.psf.gov.jo,صندوق توفير البريد,Jordan Postal Saving Fund
mx01.psf.gov.jo,صندوق توفير البريد,Jordan Postal Saving Fund
mx02.psf.gov.jo,صندوق توفير البريد,Jordan Postal Saving Fund
www.mof.gov.jo,وزارة المالية,Ministry of Finance
mx01.mof.gov.jo,وزارة المالية,Ministry of Finance
mx02.mof.gov.jo,وزارة المالية,Ministry of Finance
ptp.mof.gov.jo,وزارة المالية,Ministry of Finance
mola.ptp.mof.gov.jo,وزارة المالية,Ministry of Finance
www.mola.ptp.mof.gov.jo,وزارة المالية,Ministry of Finance
ptpapp.mof.gov.jo,وزارة المالية,Ministry of Finance
www.caqatvet.gov.jo,مركز الاعتماد و ضبط الجوده - مجلس التشغيل و التعليم و التدريب المهني والتقني,Accreditation and Quality Control Center
www.acc.gov.jo,مؤسسة الأقراض الزراعي,Agricultural Credit Corporation
mail.acc.gov.jo,مؤسسة الأقراض الزراعي,Agricultural Credit Corporation
mx01.acc.gov.jo,مؤسسة الأقراض الزراعي,Agricultural Credit Corporation
mx02.acc.gov.jo,مؤسسة الأقراض الزراعي,Agricultural Credit Corporation
www.alhassan-yc.gov.jo,مدينة الحسن للشباب,Al-Hasan Youth City
www.hm.gov.jo,بلدية الهاشمية الجديدة,Al-Hashmiya Al-Jadeda Municipality
mx01.hm.gov.jo,بلدية الهاشمية الجديدة,Al-Hashmiya Al-Jadeda Municipality
mx02.hm.gov.jo,بلدية الهاشمية الجديدة,Al-Hashmiya Al-Jadeda Municipality
www.youthcity.gov.jo,مدينة الحسين للشباب,Al-Hussein Youth City
mail.youthcity.gov.jo,مدينة الحسين للشباب,Al-Hussein Youth City
mx01.youthcity.gov.jo,مدينة الحسين للشباب,Al-Hussein Youth City
mx02.youthcity.gov.jo,مدينة الحسين للشباب,Al-Hussein Youth City
www.aljeeza.gov.jo,بلدية الجيزة الجديدة,Al-Jiza New Municipality
autodiscover.aljeeza.gov.jo,بلدية الجيزة الجديدة,Al-Jiza New Municipality
cpanel.aljeeza.gov.jo,بلدية الجيزة الجديدة,Al-Jiza New Municipality
cpcalendars.aljeeza.gov.jo,بلدية الجيزة الجديدة,Al-Jiza New Municipality
cpcontacts.aljeeza.gov.jo,بلدية الجيزة الجديدة,Al-Jiza New Municipality
mail.aljeeza.gov.jo,بلدية الجيزة الجديدة,Al-Jiza New Municipality
webdisk.aljeeza.gov.jo,بلدية الجيزة الجديدة,Al-Jiza New Municipality
webmail.aljeeza.gov.jo,بلدية الجيزة الجديدة,Al-Jiza New Municipality
www.xbrljordan.gov.jo,ِشركة بورصة عمان,Amman Stock Exchange
www.amlu.gov.jo,وحدة مكافحة غسل الأموال وتمويل الإرهاب,Anti Money Laundering Unit
goaml.amlu.gov.jo,وحدة مكافحة غسل الأموال وتمويل الإرهاب,Anti Money Laundering Unit
mail.amlu.gov.jo,وحدة مكافحة غسل الأموال وتمويل الإرهاب,Anti Money Laundering Unit
mail1.amlu.gov.jo,وحدة مكافحة غسل الأموال وتمويل الإرهاب,Anti Money Laundering Unit
mail2.amlu.gov.jo,وحدة مكافحة غسل الأموال وتمويل الإرهاب,Anti Money Laundering Unit
www.aqabaports.gov.jo,شركة العقبة لإدارة وتشغيل الموانئ,Aqaba Company for Ports Operations and Managment
